i,j,Te,ups_2000,ups_2002,pct
12,6,15.0,8.38,8.34,-0.4773269689737569
12,6,20.0,8.5,8.42,-0.9411764705882342
12,6,25.0,8.64,8.51,-1.504629629629639
13,6,0.5,16.1,16.9,4.968944099378869
13,6,1.0,20.6,21.0,1.9417475728155331
13,6,3.0,27.2,27.3,0.3676470588235281
13,6,5.0,29.3,29.4,0.3412969283276279
13,6,10.0,31.6,32.0,1.2658227848101111
13,6,15.0,32.6,33.3,2.1472392638036686
13,6,20.0,33.2,34.2,3.0120481927710774
13,6,25.0,33.7,34.8,3.264094955489605
14,6,0.5,27.5,28.5,3.6363636363636376
14,6,1.0,40.0,40.1,0.24999999999999467
14,6,3.0,78.3,78.1,-0.25542784163473664
14,6,5.0,106.0,106.0,0.0
14,6,10.0,150.0,150.0,0.0
14,6,15.0,178.0,179.0,0.561797752808979
14,6,20.0,199.0,200.0,0.5025125628140614
14,6,25.0,215.0,217.0,0.9302325581395321
15,6,0.5,28.8,29.8,3.472222222222232
15,6,1.0,38.4,38.7,0.7812500000000222
15,6,3.0,53.3,53.2,-0.18761726078798668
15,6,5.0,61.9,61.8,-0.1615508885298933
15,6,10.0,74.8,74.3,-0.6684491978609652
15,6,15.0,81.6,80.6,-1.225490196078427
15,6,20.0,85.8,84.2,-1.8648018648018572
15,6,25.0,88.6,86.6,-2.257336343115124
11,7,0.5,6.62,6.73,1.6616314199395799
11,7,1.0,16.1,15.8,-1.8633540372670843
11,7,3.0,43.5,43.4,-0.22988505747126853
11,7,5.0,57.2,57.6,0.6993006993006867
11,7,10.0,72.0,75.1,4.30555555555554
11,7,15.0,78.3,84.3,7.662835249042144
11,7,20.0,81.8,90.4,10.513447432762856
11,7,25.0,84.0,94.8,12.857142857142856
12,7,0.5,9.63,9.81,1.869158878504673
12,7,1.0,17.7,17.3,-2.259887005649708
12,7,3.0,42.8,42.5,-0.7009345794392496
12,7,5.0,62.7,63.0,0.4784688995215225
12,7,10.0,101.0,106.0,4.950495049504955
12,7,15.0,131.0,142.0,8.3969465648855
12,7,20.0,156.0,173.0,10.897435897435903
12,7,25.0,178.0,201.0,12.921348314606739
13,7,0.5,13.9,14.3,2.877697841726623
13,7,1.0,25.6,25.4,-0.7812500000000111
13,7,3.0,61.8,61.6,-0.3236245954692518
13,7,5.0,83.8,84.3,0.5966587112171906
13,7,10.0,111.0,115.0,3.603603603603611
13,7,15.0,124.0,132.0,6.451612903225801
13,7,20.0,131.0,142.0,8.3969465648855
13,7,25.0,135.0,150.0,11.111111111111116
14,7,0.5,21.6,22.2,2.777777777777768
14,7,1.0,34.7,34.8,0.28818443804032867
14,7,3.0,63.1,63.0,-0.15847860538827918
14,7,5.0,76.4,76.3,-0.13089005235603635
14,7,10.0,90.8,90.8,0.0
14,7,15.0,96.9,96.9,0.0
14,7,20.0,100.0,100.0,0.0
14,7,25.0,102.0,102.0,0.0
15,7,0.5,19.6,20.3,3.5714285714285587
15,7,1.0,27.4,27.6,0.7299270072992803
15,7,3.0,41.2,41.2,0.0
15,7,5.0,47.5,47.4,-0.21052631578947212
15,7,10.0,54.7,54.0,-1.2797074954296161
15,7,15.0,57.9,56.5,-2.4179620034542326
15,7,20.0,59.8,57.7,-3.5117056856187157
