label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
3S->4S,5.0,3,4,0,1,False,1.7914229424380145e-07,2.416640009594779e-07,-25.87133642886268
3S->4S,10.0,3,4,0,1,False,1.8145447634265448e-07,2.6318016359943994e-07,-31.05313338932789
3S->4S,15.0,3,4,0,1,False,1.7742105186688977e-07,2.592569962817205e-07,-31.565568369813267
3S->4S,20.0,3,4,0,1,False,1.7363333887589606e-07,2.495396925983645e-07,-30.418549022034803
3S->4S,25.0,3,4,0,1,False,1.7027190429434316e-07,2.394985621918505e-07,-28.904832356385203
3S->4P,0.5,3,4,1,1,True,6.923461429838326e-08,6.790049125164233e-08,1.9648209050456167
3S->4P,1.0,3,4,1,1,True,1.292679032763366e-07,1.2299904086835765e-07,5.096675846999754
3S->4P,3.0,3,4,1,1,True,3.9868552346711876e-07,2.819425495513444e-07,41.40665327086941
3S->4P,5.0,3,4,1,1,True,6.344223582819425e-07,4.032964171856222e-07,57.309197713487656
3S->4P,10.0,3,4,1,1,True,9.589001152795113e-07,5.785221614257958e-07,65.74993651345275
3S->4P,15.0,3,4,1,1,True,1.0940669990229676e-06,6.639749790268489e-07,64.7753354541282
3S->4P,20.0,3,4,1,1,True,1.1540417543541732e-06,7.113614153585321e-07,62.230018305466636
3S->4P,25.0,3,4,1,1,True,1.179948537488159e-06,7.379988268191874e-07,59.884879841042206
3S->4D,0.5,3,4,2,1,False,9.32800474168325e-08,9.672047753845052e-08,-3.5570855409086555
3S->4D,1.0,3,4,2,1,False,2.008356347510787e-07,2.0878828786057347e-07,-3.808955564981431
3S->4D,3.0,3,4,2,1,False,4.30587169466927e-07,4.247687095214333e-07,1.3697948589596276
3S->4D,5.0,3,4,2,1,False,5.21706273052743e-07,5.084359500705899e-07,2.610028456939495
3S->4D,10.0,3,4,2,1,False,5.749257421898115e-07,5.595542217069174e-07,2.7471011542015367
3S->4D,15.0,3,4,2,1,False,5.646824483349225e-07,5.501789692085365e-07,2.6361384091525775
3S->4D,20.0,3,4,2,1,False,5.427028567412508e-07,5.302718467715246e-07,2.344271159295075
3S->4D,25.0,3,4,2,1,False,5.194861065696945e-07,5.078617719442822e-07,2.2888776567903557
3S->4F,0.5,3,4,3,1,False,1.0027351607966033e-07,1.0320874670249634e-07,-2.843974679100547
3S->4F,1.0,3,4,3,1,False,2.0659999434873436e-07,2.1912434171505732e-07,-5.715634907695122
3S->4F,3.0,3,4,3,1,False,3.316418499238298e-07,3.6355749810568095e-07,-8.778707177859868
3S->4F,5.0,3,4,3,1,False,3.476611422001822e-07,3.8917319635032805e-07,-10.66673001621039
3S->4F,10.0,3,4,3,1,False,3.314499200198286e-07,3.7580230568028134e-07,-11.80205256595368
3S->4F,15.0,3,4,3,1,False,3.0885632163881485e-07,3.493042736162111e-07,-11.57957546830285
3S->4F,20.0,3,4,3,1,False,2.895173146144135e-07,3.2492147473745375e-07,-10.896220433459458
3S->4F,25.0,3,4,3,1,False,2.733685962488742e-07,3.0424898780072213e-07,-10.149710529874966
3S->5S,0.5,3,5,0,2,False,5.036245358640657e-09,8.507308229933465e-09,-40.80095345646075
3S->5S,1.0,3,5,0,2,False,1.4208747904957441e-08,2.4200876564939986e-08,-41.28829231937089
3S->5S,3.0,3,5,0,2,False,3.1732928505460136e-08,4.8740849561309796e-08,-34.8945929521722
3S->5S,5.0,3,5,0,2,False,3.588164074160541e-08,5.284259170450732e-08,-32.09712168878195
3S->5S,10.0,3,5,0,2,False,3.629588758018773e-08,5.2083876618237885e-08,-30.31262275996134
3S->5S,15.0,3,5,0,2,False,3.489739485323244e-08,4.944654872119387e-08,-29.42400277519338
3S->5S,20.0,3,5,0,2,False,3.362891997023892e-08,4.6931269070019656e-08,-28.344320030924674
3S->5S,25.0,3,5,0,2,False,3.25845290678757e-08,4.469660090872924e-08,-27.09841821212864
3S->5P,0.5,3,5,1,2,True,1.2954579712056956e-08,2.1350071615506095e-08,-39.3230151853527
3S->5P,1.0,3,5,1,2,True,3.061934674044281e-08,5.266354271364298e-08,-41.85855116710447
3S->5P,3.0,3,5,1,2,True,6.71677686679665e-08,9.329434091288508e-08,-28.004455564260468
