sparse_idx,i,j,label_i,label_j,source,g_i,g_j,E_pn_eV
302,10,22,5S,7P,CCC,2,6,0.26656261
303,10,23,5S,7D,CCC,2,10,0.26656261
304,10,24,5S,7F,CCC,2,14,0.26656261
305,10,25,5S,7G,CCC,2,18,0.26656261
306,10,26,5S,7H,CCC,2,22,0.26656261
307,10,27,5S,7I,CCC,2,26,0.26656261
308,10,28,5S,8S,CCC,2,2,0.33164138
309,10,29,5S,8P,CCC,2,6,0.33164138
310,10,30,5S,8D,CCC,2,10,0.33164138
311,10,31,5S,8F,CCC,2,14,0.33164138
312,10,32,5S,8G,CCC,2,18,0.33164138
313,10,33,5S,8H,CCC,2,22,0.33164138
314,10,34,5S,8I,CCC,2,26,0.33164138
315,10,35,5S,8J,CCC,2,30,0.33164138
316,11,15,5P,6S,CCC,6,2,0.16629311
317,11,16,5P,6P,CCC,6,6,0.16629311
318,11,17,5P,6D,CCC,6,10,0.16629311
319,11,18,5P,6F,CCC,6,14,0.16629311
320,11,19,5P,6G,CCC,6,18,0.16629311
321,11,20,5P,6H,CCC,6,22,0.16629311
322,11,21,5P,7S,CCC,6,2,0.26656261
323,11,22,5P,7P,CCC,6,6,0.26656261
324,11,23,5P,7D,CCC,6,10,0.26656261
325,11,24,5P,7F,CCC,6,14,0.26656261
326,11,25,5P,7G,CCC,6,18,0.26656261
327,11,26,5P,7H,CCC,6,22,0.26656261
328,11,27,5P,7I,CCC,6,26,0.26656261
329,11,28,5P,8S,CCC,6,2,0.33164138
330,11,29,5P,8P,CCC,6,6,0.33164138
331,11,30,5P,8D,CCC,6,10,0.33164138
332,11,31,5P,8F,CCC,6,14,0.33164138
333,11,32,5P,8G,CCC,6,18,0.33164138
334,11,33,5P,8H,CCC,6,22,0.33164138
335,11,34,5P,8I,CCC,6,26,0.33164138
336,11,35,5P,8J,CCC,6,30,0.33164138
337,12,15,5D,6S,CCC,10,2,0.16629311
338,12,16,5D,6P,CCC,10,6,0.16629311
339,12,17,5D,6D,CCC,10,10,0.16629311
340,12,18,5D,6F,CCC,10,14,0.16629311
341,12,19,5D,6G,CCC,10,18,0.16629311
342,12,20,5D,6H,CCC,10,22,0.16629311
343,12,21,5D,7S,CCC,10,2,0.26656261
344,12,22,5D,7P,CCC,10,6,0.26656261
345,12,23,5D,7D,CCC,10,10,0.26656261
346,12,24,5D,7F,CCC,10,14,0.26656261
347,12,25,5D,7G,CCC,10,18,0.26656261
348,12,26,5D,7H,CCC,10,22,0.26656261
349,12,27,5D,7I,CCC,10,26,0.26656261
350,12,28,5D,8S,CCC,10,2,0.33164138
351,12,29,5D,8P,CCC,10,6,0.33164138
352,12,30,5D,8D,CCC,10,10,0.33164138
353,12,31,5D,8F,CCC,10,14,0.33164138
354,12,32,5D,8G,CCC,10,18,0.33164138
355,12,33,5D,8H,CCC,10,22,0.33164138
356,12,34,5D,8I,CCC,10,26,0.33164138
357,12,35,5D,8J,CCC,10,30,0.33164138
358,13,15,5F,6S,CCC,14,2,0.16629311
359,13,16,5F,6P,CCC,14,6,0.16629311
360,13,17,5F,6D,CCC,14,10,0.16629311
361,13,18,5F,6F,CCC,14,14,0.16629311
362,13,19,5F,6G,CCC,14,18,0.16629311
363,13,20,5F,6H,CCC,14,22,0.16629311
364,13,21,5F,7S,CCC,14,2,0.26656261
365,13,22,5F,7P,CCC,14,6,0.26656261
366,13,23,5F,7D,CCC,14,10,0.26656261
367,13,24,5F,7F,CCC,14,14,0.26656261
368,13,25,5F,7G,CCC,14,18,0.26656261
369,13,26,5F,7H,CCC,14,22,0.26656261
370,13,27,5F,7I,CCC,14,26,0.26656261
371,13,28,5F,8S,CCC,14,2,0.33164138
372,13,29,5F,8P,CCC,14,6,0.33164138
373,13,30,5F,8D,CCC,14,10,0.33164138
374,13,31,5F,8F,CCC,14,14,0.33164138
375,13,32,5F,8G,CCC,14,18,0.33164138
376,13,33,5F,8H,CCC,14,22,0.33164138
377,13,34,5F,8I,CCC,14,26,0.33164138
378,13,35,5F,8J,CCC,14,30,0.33164138
379,14,15,5G,6S,CCC,18,2,0.16629311
380,14,16,5G,6P,CCC,18,6,0.16629311
381,14,17,5G,6D,CCC,18,10,0.16629311
382,14,18,5G,6F,CCC,18,14,0.16629311
383,14,19,5G,6G,CCC,18,18,0.16629311
384,14,20,5G,6H,CCC,18,22,0.16629311
385,14,21,5G,7S,CCC,18,2,0.26656261
386,14,22,5G,7P,CCC,18,6,0.26656261
387,14,23,5G,7D,CCC,18,10,0.26656261
388,14,24,5G,7F,CCC,18,14,0.26656261
389,14,25,5G,7G,CCC,18,18,0.26656261
390,14,26,5G,7H,CCC,18,22,0.26656261
391,14,27,5G,7I,CCC,18,26,0.26656261
392,14,28,5G,8S,CCC,18,2,0.33164138
393,14,29,5G,8P,CCC,18,6,0.33164138
394,14,30,5G,8D,CCC,18,10,0.33164138
395,14,31,5G,8F,CCC,18,14,0.33164138
396,14,32,5G,8G,CCC,18,18,0.33164138
397,14,33,5G,8H,CCC,18,22,0.33164138
398,14,34,5G,8I,CCC,18,26,0.33164138
399,14,35,5G,8J,CCC,18,30,0.33164138
400,15,21,6S,7S,CCC,2,2,0.1002695
401,15,22,6S,7P,CCC,2,6,0.1002695
402,15,23,6S,7D,CCC,2,10,0.1002695
403,15,24,6S,7F,CCC,2,14,0.1002695
404,15,25,6S,7G,CCC,2,18,0.1002695
405,15,26,6S,7H,CCC,2,22,0.1002695
406,15,27,6S,7I,CCC,2,26,0.1002695
407,15,28,6S,8S,CCC,2,2,0.16534826
408,15,29,6S,8P,CCC,2,6,0.16534826
409,15,30,6S,8D,CCC,2,10,0.16534826
410,15,31,6S,8F,CCC,2,14,0.16534826
411,15,32,6S,8G,CCC,2,18,0.16534826
412,15,33,6S,8H,CCC,2,22,0.16534826
413,15,34,6S,8I,CCC,2,26,0.16534826
414,15,35,6S,8J,CCC,2,30,0.16534826
415,16,21,6P,7S,CCC,6,2,0.1002695
416,16,22,6P,7P,CCC,6,6,0.1002695
417,16,23,6P,7D,CCC,6,10,0.1002695
418,16,24,6P,7F,CCC,6,14,0.1002695
419,16,25,6P,7G,CCC,6,18,0.1002695
420,16,26,6P,7H,CCC,6,22,0.1002695
421,16,27,6P,7I,CCC,6,26,0.1002695
422,16,28,6P,8S,CCC,6,2,0.16534826
423,16,29,6P,8P,CCC,6,6,0.16534826
424,16,30,6P,8D,CCC,6,10,0.16534826
425,16,31,6P,8F,CCC,6,14,0.16534826
426,16,32,6P,8G,CCC,6,18,0.16534826
427,16,33,6P,8H,CCC,6,22,0.16534826
428,16,34,6P,8I,CCC,6,26,0.16534826
429,16,35,6P,8J,CCC,6,30,0.16534826
430,17,21,6D,7S,CCC,10,2,0.1002695
431,17,22,6D,7P,CCC,10,6,0.1002695
432,17,23,6D,7D,CCC,10,10,0.1002695
433,17,24,6D,7F,CCC,10,14,0.1002695
434,17,25,6D,7G,CCC,10,18,0.1002695
435,17,26,6D,7H,CCC,10,22,0.1002695
436,17,27,6D,7I,CCC,10,26,0.1002695
437,17,28,6D,8S,CCC,10,2,0.16534826
438,17,29,6D,8P,CCC,10,6,0.16534826
439,17,30,6D,8D,CCC,10,10,0.16534826
440,17,31,6D,8F,CCC,10,14,0.16534826
441,17,32,6D,8G,CCC,10,18,0.16534826
442,17,33,6D,8H,CCC,10,22,0.16534826
443,17,34,6D,8I,CCC,10,26,0.16534826
444,17,35,6D,8J,CCC,10,30,0.16534826
445,18,21,6F,7S,CCC,14,2,0.1002695
446,18,22,6F,7P,CCC,14,6,0.1002695
447,18,23,6F,7D,CCC,14,10,0.1002695
448,18,24,6F,7F,CCC,14,14,0.1002695
449,18,25,6F,7G,CCC,14,18,0.1002695
450,18,26,6F,7H,CCC,14,22,0.1002695
451,18,27,6F,7I,CCC,14,26,0.1002695
452,18,28,6F,8S,CCC,14,2,0.16534826
453,18,29,6F,8P,CCC,14,6,0.16534826
454,18,30,6F,8D,CCC,14,10,0.16534826
455,18,31,6F,8F,CCC,14,14,0.16534826
456,18,32,6F,8G,CCC,14,18,0.16534826
457,18,33,6F,8H,CCC,14,22,0.16534826
458,18,34,6F,8I,CCC,14,26,0.16534826
459,18,35,6F,8J,CCC,14,30,0.16534826
460,19,21,6G,7S,CCC,18,2,0.1002695
461,19,22,6G,7P,CCC,18,6,0.1002695
462,19,23,6G,7D,CCC,18,10,0.1002695
463,19,24,6G,7F,CCC,18,14,0.1002695
464,19,25,6G,7G,CCC,18,18,0.1002695
465,19,26,6G,7H,CCC,18,22,0.1002695
466,19,27,6G,7I,CCC,18,26,0.1002695
467,19,28,6G,8S,CCC,18,2,0.16534826
468,19,29,6G,8P,CCC,18,6,0.16534826
469,19,30,6G,8D,CCC,18,10,0.16534826
470,19,31,6G,8F,CCC,18,14,0.16534826
471,19,32,6G,8G,CCC,18,18,0.16534826
472,19,33,6G,8H,CCC,18,22,0.16534826
473,19,34,6G,8I,CCC,18,26,0.16534826
474,19,35,6G,8J,CCC,18,30,0.16534826
475,20,21,6H,7S,CCC,22,2,0.1002695
476,20,22,6H,7P,CCC,22,6,0.1002695
477,20,23,6H,7D,CCC,22,10,0.1002695
478,20,24,6H,7F,CCC,22,14,0.1002695
479,20,25,6H,7G,CCC,22,18,0.1002695
480,20,26,6H,7H,CCC,22,22,0.1002695
481,20,27,6H,7I,CCC,22,26,0.1002695
482,20,28,6H,8S,CCC,22,2,0.16534826
483,20,29,6H,8P,CCC,22,6,0.16534826
484,20,30,6H,8D,CCC,22,10,0.16534826
485,20,31,6H,8F,CCC,22,14,0.16534826
486,20,32,6H,8G,CCC,22,18,0.16534826
487,20,33,6H,8H,CCC,22,22,0.16534826
488,20,34,6H,8I,CCC,22,26,0.16534826
489,20,35,6H,8J,CCC,22,30,0.16534826
490,21,28,7S,8S,CCC,2,2,0.06507876
491,21,29,7S,8P,CCC,2,6,0.06507876
492,21,30,7S,8D,CCC,2,10,0.06507876
493,21,31,7S,8F,CCC,2,14,0.06507876
494,21,32,7S,8G,CCC,2,18,0.06507876
495,21,33,7S,8H,CCC,2,22,0.06507876
496,21,34,7S,8I,CCC,2,26,0.06507876
497,21,35,7S,8J,CCC,2,30,0.06507876
498,22,28,7P,8S,CCC,6,2,0.06507876
499,22,29,7P,8P,CCC,6,6,0.06507876
500,22,30,7P,8D,CCC,6,10,0.06507876
501,22,31,7P,8F,CCC,6,14,0.06507876
502,22,32,7P,8G,CCC,6,18,0.06507876
503,22,33,7P,8H,CCC,6,22,0.06507876
504,22,34,7P,8I,CCC,6,26,0.06507876
505,22,35,7P,8J,CCC,6,30,0.06507876
506,23,28,7D,8S,CCC,10,2,0.06507876
507,23,29,7D,8P,CCC,10,6,0.06507876
508,23,30,7D,8D,CCC,10,10,0.06507876
509,23,31,7D,8F,CCC,10,14,0.06507876
510,23,32,7D,8G,CCC,10,18,0.06507876
511,23,33,7D,8H,CCC,10,22,0.06507876
512,23,34,7D,8I,CCC,10,26,0.06507876
513,23,35,7D,8J,CCC,10,30,0.06507876
514,24,28,7F,8S,CCC,14,2,0.06507876
515,24,29,7F,8P,CCC,14,6,0.06507876
516,24,30,7F,8D,CCC,14,10,0.06507876
517,24,31,7F,8F,CCC,14,14,0.06507876
518,24,32,7F,8G,CCC,14,18,0.06507876
519,24,33,7F,8H,CCC,14,22,0.06507876
520,24,34,7F,8I,CCC,14,26,0.06507876
521,24,35,7F,8J,CCC,14,30,0.06507876
522,25,28,7G,8S,CCC,18,2,0.06507876
523,25,29,7G,8P,CCC,18,6,0.06507876
524,25,30,7G,8D,CCC,18,10,0.06507876
525,25,31,7G,8F,CCC,18,14,0.06507876
526,25,32,7G,8G,CCC,18,18,0.06507876
527,25,33,7G,8H,CCC,18,22,0.06507876
528,25,34,7G,8I,CCC,18,26,0.06507876
529,25,35,7G,8J,CCC,18,30,0.06507876
