ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
7,3,6,0,13.328199,55,9.369747e-14,7F.6S
8,7,8,6,13.393320,50,4.642869e-07,8J.8I
10,6,5,1,13.500000,47,1.644606e-15,:I.5P
9,7,4,1,13.500000,47,5.208526e-16,9J.4P
8,6,3,0,13.393320,50,1.157917e-16,8I.3S
10,7,8,0,13.500000,47,4.794084e-14,:J.8S
9,6,9,0,13.500000,47,6.348242e-13,9I.9S
2,0,6,1,13.228975,58,1.322574e-14,2S.6P
9,3,4,3,13.500000,47,6.485455e-16,9F.4F
3,1,1,0,12.094089,78,9.966207e-18,3P.1S
3,2,7,6,13.328199,55,1.901952e-12,3D.7I
5,3,5,3,13.061780,63,3.606764e-09,5F.5F
3,2,4,3,12.755506,70,1.256767e-11,3D.4F
7,6,8,6,13.393320,50,2.003882e-11,7I.8I
